term,freq
pera bayan,101
kaban bayan,82
sen marcoleta,68
death penalty,60
works highways,37
martin romualdez,36
department works,34
ibang bansa,32
mayor magalong,31
paulit ulit,27
government officials,26
jessica soho,24
ferdinand marcos,23
president ferdinand,23
corrupt officials,22
romualdez zaldy,21
engr alcantara,20
ibalik pera,20
manila philippines,20
climate change,20
brice hernandez,19
take new,18
ibig sabihin,18
independent commission,18
corrupt politicians,18
bansang pilipinas,17
social media,17
metro manila,17
naka upo,16
firing squad,16
vico sotto,16
jinggoy estrada,16
state witness,16
tell truth,15
araw araw,15
iba pang,15
kulong agad,15
kapwa pilipino,15
build build,15
party list,15
commission infrastructure,15
tatay digong,14
corruption government,14
mayor vico,13
zaldy romualdez,13
sara duterte,13
joel villanueva,13
magnanakaw kaban,13
hay naku,13
ibalik death,13
billions pesos,12
house representatives,12
sen ping,12
raffy tulfo,12
buong pilipinas,12
halatang halata,11
tiangcong bangus,11
opisyal gobyerno,11
panahon duterte,11
abs cbn,11
sabihin totoo,11
lubog baha,11
sen joel,11
witness protection,11
district engineers,10
resign kana,10
ping lacson,10
mababang lugar,10
district engineering,10
new safe,10
pera pera,10
moro moro,10
corruption philippines,10
davao city,10
henry alcantara,10
sen villanueva,10
erwin tulfo,10
buong mundo,10
gobyerno pilipinas,10
sen jinggoy,10
tuloy tuloy,10
toby tubol,10
top contractors,10
president marcos,9
representative zaldy,9
perang ninakaw,9
resource person,9
let issue,9
nation address,9
corrupt government,9
paikot ikot,9
tsk tsk,9
pinag uusapan,9
pork barrel,9
lakas loob,9
lacson sotto,9
engineering office,9
weak leader,9
billion budget,9
district engineer,9
galing nakaw,9
state nation,9
galit galit,9
billion worth,9
get away,9
alcantara hernandez,9
zaldy martin,9
pera ninakaw,9
vince dizon,8
galit bayan,8
sen lacson,8
dela rosa,8
boying remulla,8
gumawa batas,8
govt officials,8
nagbabayad buwis,8
maraming pilipino,8
mockha mockhang,8
miss jessica,8
mockhang pera,8
officials involved,8
bend law,8
taxpayers money,8
typhoon tino,8
pagnanakaw pera,8
p26 billion,8
muna bago,8
mgakapal mockha,8
sayang oras,8
jesus name,8
kitang kita,8
construction corporation,8
commission audit,8
civil society,8
sec remulla,8
secretary vince,8
local government,8
liv take,8
issue die,8
involved corruption,8
halatang scripted,8
speaker martin,7
sub standard,7
set free,7
tayong pilipino,7
tax payers,7
martial law,7
nakaw pera,7
penalty corrupt,7
multi purpose,7
nepo babies,7
truth set,7
marcos administration,7
marcos romualdez,7
philippine government,7
mamayang pilipino,7
president bbm,7
cebu province,7
pera basura,7
kawawang pilipinas,7
utal utal,7
fake news,7
kurap politiko,7
gumawa paraan,7
billion pesos,7
billion billion,7
economic sabotage,7
wlang kwenta,7
sama sama,7
jinggoy joel,7
ilang taon,7
kayong kurakot,7
engineers kayong,6
1st district,6
bong bong,6
government agencies,6
investigate district,6
sen tulfo,6
senado congress,6
gawa gawa,6
dami pang,6
daming naghihirap,6
daming pera,6
corruption bansa,6
every year,6
takot takot,6
bicol representative,6
bilyon bilyon,6
villanueva jinggoy,6
warrant arrest,6
hahaha investigate,6
malversation funds,6
kawawa pilipino,6
kawawa pilipinas,6
kang matakot,6
kamag anak,6
ibalik ninakaw,6
ikulong kurakot,6
iloilo city,6
kawawa tayong,6
rodrigo duterte,6
romualdes zaldy,6
romualdez marcos,6
safe strong,6
sayang pera,6
rock netting,6
long time,6
limpak limpak,6
challenge pray,6
protection program,6
private sector,6
please let,6
magbayad tax,6
maging state,6
magnanakaw gobyerno,6
luxury cars,6
marami pang,6
kayong one,6
pare pareho,6
pati pamilya,6
pawang katotohanan,6
mayaman pilipinas,6
naka kulong,6
buwaya gobyerno,6
one sided,6
pamilya nakaw,6
transparency accountability,6
abogado discaya,6
nanakaw kaban,6
noong panahon,6
office ombudsman,6
ninakaw pera,6
ninanakaw pera,6
tubig dagat,6
namang nakukulong,6
toby tiangco,6
tapon napo,6
bam aquino,6
among others,6
alcantara brice,6
ari arian,5
artificial island,5
asa pilipinas,5
bahala lord,5
batas bitay,5
batas pilipinas,5
bbm romualdez,5
usec bernardo,5
tanggalan lisensya,5
taon taon,5
nasalanta bagyo,5
national government,5
need help,5
oras panahon,5
pang iba,5
pang nakukulong,5
pang nakulong,5
patawa tawa,5
master mind,5
million million,5
millions billions,5
naku naku,5
marcoleta maging,5
cebu city,5
chiz escudero,5
city towns,5
corrupt gobyerno,5
pera taumbayan,5
pilipinas kong,5
pondo bayan,5
put jail,5
luxury car,5
madami pang,5
mahiya nmn,5
malaking sindikato,5
maling paraan,5
malunod baha,5
many times,5
kya pla,5
long term,5
loob bahay,5
look upon,5
lord bahala,5
saan galing,5
sambayanan pilipino,5
sambayanang pilipino,5
jinggoy sen,5
jinky luistro,5
kaliwat kanan,5
kami tax,5
kapani paniwala,5
kasalanan bayan,5
katiwalian gobyerno,5
kawawa bata,5
dying cross,5
humingi tawad,5
ibang lugar,5
ibat ibang,5
ibinoto bayan,5
ikulong bitayin,5
jesus christ,5
see even,5
sen erwin,5
slater young,5
substandard ghost,5
super typhoon,5
heavily affected,5
hugas kamay,5
corruption pinas,5
daming kurakot,5
freeze assets,5
galing marcoleta,5
government official,5
visayas mindanao,5
wla nmn,5
work done,5
would better,5
estrada joel,5
takot diyos,5
big fish,5
brice alcantara,5
bulacan 1st,5
bumaba kana,5
