doc_id,text,platform
0,based reports reported p26 billion budget cebu covers large number infrastructure though effectiveness currently intense scrutiny due severe flooding data suggests around undertaken across cebu province amounting approximately p26 billion,youtube
1,basta maipalusot pra manakaw budget hndi pagaaralan mkakatulong tlga bkt wlang pagaaral hndi ktulad japan inaaral mbuti pinas harang gngwa,youtube
2,kasya resources funds basta nakaw iyong mapepera balak pwede maawa nawalan breadwinner bahay kabuhayan stop paid serve taxpayers,youtube
3,soul conscience guilt soul conscience guilt interconnected concepts soul considered essence person conscience internal moral compass guides soul guilt emotional pain negative feeling arises one acts conscience acting accordance one conscience leads clear conscience violating results guilty conscience powerful motivator seeking change forgiveness soul soul considered essential part person sometimes viewed one moral spiritual conscience conscience internal faculty allows person distinguish right wrong functions moral guide compass soul healthy conscience freedom seared ignored conscience dangerous interpretations guilt guilt emotional psychological response violated one conscience sense right wrong often described painful feeling bad feeling comes knowing thinking done something wrong intensity guilt depend perceived severity wrong action relation others oneself overcoming guilt often involves process seeking forgiveness repenting trying one conscience future statement conscience describes profound lack morality empathy conscience internal sense right wrong absence means someone regard rights feelings others individuals without conscience antisocial manipulative guilt remorse harm cause,youtube
4,sarah next,youtube
5,martirez,youtube
6,poor planning poor execution corruption incompetent charge investigate justice,youtube
7,erc reason fuel increases russia time still mideast problem nahalata pinapa ginatasn nyu pinoy,youtube
8,correction russias attack ukrain way around baka maging pilippines aggression china sunod balita ninyu please check facts,youtube
9,question investigation makakasuhan natakbo involve haruhay ibang bansa lge kawawa kming mahihirap,youtube
10,dizon focus davao cebu equally important ilocos norte ghost fully paid per chavit,youtube
11,approved subdivision development lumiit lalo ilog problema illegal structure illegal logging yun ilog naging kanal laki,youtube
12,estimate consider ton weight wood force strike,youtube
13,cebu iimbestiga dedicated davao city conduct controversy,youtube
14,substandard gawa cebu baha madaling masira masama yun bundok sinira,youtube
15,invite slater young show interview monterrazas allegedly caused floods nearby areas,youtube
16,mitigation planned based normal rainfall sure know planned low high budget lot could ways long nobody gets arrested money confiscated won laughing funerals normal,youtube
17,let involved placed caged,youtube
18,death penalty corrupt officials,youtube
19,frankly study done,youtube
20,phil needs bitay,youtube
21,dizon planning start plan plunder budget kunwari planing planning eventually budget gone smoke luck,youtube
22,nangyari builders bang result invistigasyon dating district engineer dati assign 6th engineering district cebu city maraming sasakyan marami pang bahay asawa contractor behind scene umpisahan imbistigasyun mindanao dating kapatid nañg undersecretary nañg central office,youtube
23,naging resulta ghost substandard flash floods tuwing bagyo kawawang biktima flash opesyales contractor politiko senado kongresso ayahay busog flashflood funds,youtube
24,napakaliit makitid kakayanin biglaang dating volume tubig,youtube
