topic,rank,term,weight
0,1,magnanakaw,156.46205203397045
0,2,sabihin,61.704774626817546
0,3,naku,54.14227343730094
0,4,cla,51.165356655425214
0,5,luistro,48.13440838902252
0,6,senador,46.8757734691781
0,7,kawatan,46.276429973085094
0,8,pbbm,42.64905843809634
0,9,galing,41.29138172130503
0,10,truth,39.8653105706349
0,11,bless,39.5471735880366
0,12,congress,38.668372447252395
0,13,kong,36.600339609846856
0,14,bato,35.899389812842884
0,15,senado,32.48390116643966
1,1,zaldy,221.88976308611493
1,2,alcantara,160.68449999113466
1,3,romualdez,132.66414535297193
1,4,corrupt,108.56485282864864
1,5,remulla,95.77669950723146
1,6,brice,79.46155057963755
1,7,jinggoy,63.91074376535648
1,8,martin,61.9318202302424
1,9,lacson,59.15869966785562
1,10,hahaha,50.64595312843815
1,11,hernandez,46.957752519783966
1,12,magalong,46.87019533735203
1,13,salita,44.094786581875375
1,14,job,41.14174169912448
1,15,halatang,41.097122236909115
2,1,marcoleta,261.1188616290097
2,2,sen,124.6208988402823
2,3,discaya,100.66828589332687
2,4,agad,86.16892794917551
2,5,isa,72.61677390883484
2,6,sen marcoleta,68.14205364867354
2,7,tanong,63.71257439526966
2,8,ikulong,54.42049714185839
2,9,kulong,49.57622403223828
2,10,pati,49.49950531764505
2,11,kapal,48.501671064974005
2,12,nakukulong,44.96603158960526
2,13,yun,44.587217510737695
2,14,naka,43.84469928515859
2,15,ulit,42.62632366332932
3,1,government,235.8105941465526
3,2,corruption,211.889997644981
3,3,philippines,149.8786928513051
3,4,corrupt,114.81523646054951
3,5,officials,112.98478732153026
3,6,contractors,107.54774361383281
3,7,marcos,99.99312198951348
3,8,president,96.52615381902898
3,9,one,85.5136051072451
3,10,billion,84.3907972275822
3,11,time,78.56187591697146
3,12,filipinos,75.12037518661374
3,13,works,73.90097050945549
3,14,country,72.90444109158078
3,15,money,72.35252328954661
4,1,bayan,388.206078428812
4,2,pera,225.69570375487004
4,3,pilipinas,194.52637530167777
4,4,pilipino,178.9991555789565
4,5,gobyerno,117.35913066279082
4,6,kayong,110.2311194434408
4,7,baha,108.11148324889173
4,8,bbm,103.94335115323716
4,9,buwaya,91.67129310452374
4,10,pera bayan,89.76621029573093
4,11,magnanakaw,87.82214192286486
4,12,kaban,86.72869289020554
4,13,kawawa,85.57133434690682
4,14,kaban bayan,81.32222847190269
4,15,maraming,77.688736275602
5,1,batas,115.95501360237111
5,2,duterte,101.05067886610856
5,3,gobyerno,88.61887303572952
5,4,tama,88.26570944377004
5,5,tubig,81.1085346765541
5,6,lugar,77.93687898404986
5,7,dagat,59.14238453444838
5,8,panahon,58.37434592755642
5,9,lupa,55.06971612998533
5,10,baka,50.797124958013555
5,11,baha,48.17323263097915
5,12,iba,45.931201757153346
5,13,maging,44.808589562214564
5,14,sinungaling,44.17807396343756
5,15,dds,42.14189408006999
6,1,pera,260.5658322579815
6,2,kurakot,154.71089238227316
6,3,pinas,77.99723063449737
6,4,bansa,70.49922253640622
6,5,dami,65.47168744026507
6,6,bayan,62.31507036473506
6,7,makulong,59.6462872325033
6,8,sangkot,57.71285913472953
6,9,managot,56.14185493303733
6,10,kailangan,55.352943634044045
6,11,ibalik,53.31677108623555
6,12,bitay,53.142074512749886
6,13,politiko,50.53444763174172
6,14,sorry,48.2526268132658
6,15,ibang,45.924415485748845
