topic,rank,term,weight
0,1,marcos,13.056759822003697
0,2,commission,11.931521811336562
0,3,president,10.315337810319809
0,4,probe,6.829744832816829
0,5,independent,5.303112059284436
0,6,investigation,4.920152962379927
0,7,another,4.793567743221833
0,8,zaldy,4.691323589594075
0,9,independent commission,4.055928812549792
0,10,corruption,3.5412172263730515
0,11,linked,3.1427509905958306
0,12,contractors,3.0487192351666272
0,13,lawmakers,2.7680600539784797
0,14,anomalous,2.398747610613758
0,15,representative,1.5346336774619622
1,1,million,25.72367007018343
1,2,district,24.098689807101756
1,3,alleged,14.502995169916488
1,4,commission,12.772332705685075
1,5,officials,12.166546801154487
1,6,government,11.65163322652994
1,7,representative,11.065371818003188
1,8,report,10.974846793803712
1,9,department,10.675613282384557
1,10,audit,9.309471491849672
1,11,make,8.711653588326605
1,12,office,8.455934357232744
1,13,construction,8.175405047072232
1,14,corporation,8.115397398608104
1,15,works,7.588327505907353
2,1,house,23.39131167088379
2,2,infrastructure,15.588565751864587
2,3,officials,14.965259060868426
2,4,investigation,14.181337566735369
2,5,contractors,14.11015516432629
2,6,anomalous,13.314134199477554
2,7,probe,11.66405763077357
2,8,manila,10.809435336344174
2,9,city,10.28288665411561
2,10,philippines,9.259713231170595
2,11,works,8.872814404685455
2,12,district,8.822563478667881
2,13,manila philippines,8.652122830113967
2,14,would,8.364217821908959
2,15,government,8.343631938998314
3,1,water,29.89605334333797
3,2,budget,24.364457219040276
3,3,billion,20.678726264366155
3,4,works,20.151417708185363
3,5,department,18.13519534676449
3,6,highways,12.689197883340418
3,7,works highways,11.739575601885315
3,8,department works,10.879085815527926
3,9,national,10.624862508076674
3,10,philippines,9.297824849632331
3,11,local,9.017813378586935
3,12,government,7.983474692485535
3,13,country,7.334561212978971
3,14,city,5.834072854756442
3,15,make,5.56699584066623
4,1,marcos,35.202540858070854
4,2,construction,21.203100195349595
4,3,president,20.525728972458772
4,4,manila,18.9277958960672
4,5,billion,16.468836863363475
4,6,contractors,15.011782656408299
4,7,president ferdinand,12.529479135774743
4,8,ferdinand marcos,12.35603429199288
4,9,contracts,12.317022603909098
4,10,ferdinand,12.19683146568609
4,11,received,10.031293304122357
4,12,make,9.658535947194515
4,13,report,8.409562696364713
4,14,government,8.275308665962205
4,15,work,7.599518153214461
5,1,construction,26.73268502243191
5,2,city,24.93555351575092
5,3,contractor,19.23926384341722
5,4,contractors,18.402177846076142
5,5,worth,15.559025534442673
5,6,government,15.085101833746554
5,7,office,14.995372436415773
5,8,million,14.561060904889004
5,9,discaya,13.788725932696366
5,10,already,12.56837439117298
5,11,officials,12.37966327996482
5,12,billion,11.657944657663592
5,13,top,11.318525677819451
5,14,ghost,10.65222861140151
5,15,based,10.065953671036413
6,1,corruption,64.56306397787377
6,2,government,31.517731545790646
6,3,filipinos,31.428314772714252
6,4,every,26.450240660447992
6,5,would,24.706458521404354
6,6,among,22.07138057356462
6,7,one,21.766614181007053
6,8,national,20.176577000320414
6,9,infrastructure,18.836052385351312
6,10,even,18.19382036765459
6,11,many,17.699259316073675
6,12,year,17.556588663919907
6,13,could,16.89916983202543
6,14,accountability,16.522859040024827
6,15,funds,16.300630966791736
