term,freq
bayan,490
pera,486
corruption,308
marcoleta,296
pilipinas,284
corrupt,271
zaldy,250
gobyerno,247
magnanakaw,244
government,243
marcos,202
kurakot,199
discaya,191
pilipino,189
alcantara,178
duterte,172
bansa,169
sen,162
philippines,160
bbm,159
baha,156
kayong,146
president,145
tama,139
batas,137
romualdez,136
senador,136
cebu,132
billion,126
budget,126
officials,122
pang,119
buwaya,116
galing,115
contractor,114
ibang,110
totoo,110
contractors,108
kawawa,107
isa,106
iba,106
kong,104
one,103
ginawa,103
ghost,102
jinggoy,101
yun,101
mayor,99
baka,99
pinas,99
gusto,99
remulla,96
nakaw,96
ikulong,96
pati,96
city,93
maraming,93
kawatan,92
takot,92
ninakaw,90
million,89
panahon,89
sangkot,89
makulong,89
brice,88
agad,88
tanong,88
kaban,88
hahaha,88
lacson,87
nmn,86
money,85
kana,85
sabihin,85
time,84
lalo,84
politiko,84
ayaw,84
senado,83
tubig,82
dami,82
lugar,82
lord,82
country,81
law,80
filipino,80
kami,80
mahirap,80
bless,79
kasama,79
involved,78
pamilya,78
cla,78
ibalik,78
tax,77
works,76
bahay,76
maging,76
filipinos,75
kaso,75
hanggang,75
kang,74
kailangan,74
politicians,71
daming,71
jessica,71
construction,70
every,70
death,70
bulacan,69
silang,69
congress,69
tlga,69
habang,69
naka,69
bangag,68
saan,67
ulit,67
sinungaling,67
pbbm,66
nung,65
sorry,65
make,64
many,64
truth,64
martin,64
kulong,64
let,63
talagang,63
issue,62
penalty,62
muna,62
kya,62
manila,61
department,61
district,61
know,61
nilang,61
basta,61
meron,61
ombudsman,60
administration,60
house,60
years,60
problema,60
gumawa,60
nanakaw,60
full,59
water,59
coa,59
guilty,59
buong,59
salita,59
dagat,59
presidente,59
pagnanakaw,59
bago,58
even,57
marami,57
naging,57
gawa,57
new,56
funds,56
must,56
would,56
magalong,56
sinasabi,56
managot,56
hinde,56
dios,56
wla,56
nayan,56
kurap,56
hernandez,55
take,55
climate,55
pondo,55
pwede,55
mali,55
lupa,55
infrastructure,54
sobrang,54
witness,54
pinag,54
pra,54
hndi,54
parin,54
naku,54
system,53
life,53
sara,53
trabaho,53
bitay,53
halata,53
engineer,52
family,52
tulfo,52
loob,52
galit,52
halatang,52
kapal,52
protection,51
bagyo,51
investigation,50
need,50
anong,50
power,50
please,50
taon,50
araw,50
gawin,50
diyos,50
katotohanan,50
mamatay,50
national,49
commission,49
mahiya,49
basura,49
davao,48
tayong,48
anak,48
kwenta,48
tong,48
luistro,48
justice,47
could,47
media,47
pangulo,47
wlang,47
ilang,47
digong,47
taga,47
jesus,47
halos,47
kasabwat,47
wow,47
estrada,46
change,46
way,46
ginagawa,46
salute,46
makukulong,46
first,45
away,45
maayos,45
nakukulong,45
kasalanan,45
tuloy,45
hnd,45
sarili,45
safe,44
billions,44
kyo,44
sayang,44
naghihirap,44
protect,43
help,43
long,43
kanilang,43
laki,43
engr,43
among,42
former,42
political,42
kita,42
dds,42
tunay,42
bato,42
made,41
see,41
sotto,41
gov,41
dati,41
ganito,41
job,41
nangyayari,41
malaking,41
buti,41
kulang,41
year,40
highways,40
office,40
dizon,40
dating,40
mastermind,40
sure,40
bang,40
mundo,40
oras,40
tulad,40
pulitiko,40
nyong,40
already,39
list,39
case,39
jail,39
abogado,39
mabuti,39
china,39
kababayan,39
kapwa,39
dpat,39
report,38
done,38
accountability,38
right,38
hope,38
get,38
mula,38
bawat,38
big,38
opisyal,38
bat,38
gagawin,38
totoong,38
palang,38
company,37
part,37
leader,37
pinoy,37
nakulong,37
namang,37
hiya,37
yon,37
kundi,37
sobra,37
villanueva,36
speaker,36
ping,36
build,36
name,36
bitayin,36
imbestigasyon,36
matakot,36
sindikato,36
pray,36
local,35
area,35
contracts,35
flooding,35
well,35
without,35
blockchain,35
mangyayari,35
nlng,35
pinaka,35
sagot,35
govt,35
investigate,34
still,34
since,34
back,34
philippine,34
based,34
real,34
trust,34
pesos,34
always,34
proyekto,34
conscience,34
korap,34
mismo,34
resign,34
nating,34
akala,34
mabuhay,34
kalsada,34
bakal,34
river,33
data,33
state,33
look,33
congressmen,33
matagal,33
namatay,33
mahihirap,33
mahal,33
isip,33
sabwatan,33
ayan,33
guteza,33
worth,32
audit,32
much,32
point,32
bilyon,32
nangyari,32
bansang,32
buwis,32
katulad,32
buaya,32
iboto,32
bryce,32
awa,32
salaysay,32
scripted,32
top,31
keep,31
anomalous,31
independent,31
party,31
action,31
act,31
maawa,31
hay,31
ulo,31
ikot,31
bkit,31
naniniwala,31
pwesto,31
pla,31
pangalan,31
casino,31
soho,31
another,30
criminal,30
evidence,30
world,30
last,30
come,30
kaming,30
ngaun,30
maniwala,30
nasaan,30
matapos,30
korapsyon,30
tulong,30
yes,30
mawala,30
ninanakaw,30
bigyan,30
joel,29
bicol,29
secretary,29
mindanao,29
pong,29
high,29
rep,29
statement,29
vico,29
leaders,29
laban,29
nothing,29
bahala,29
noong,29
asa,29
nakakahiya,29
marcolita,29
script,29
nakakaiyak,29
panginoon,29
magaling,29
paraan,29
bata,29
magnakaw,29
nakawan,29
sama,29
typhoon,28
person,28
sarah,28
best,28
across,28
give,28
citizens,28
think,28
official,28
election,28
toby,28
maganda,28
puso,28
lagi,28
sarap,28
mamamayan,28
hayop,28
inyong,28
kasuhan,28
samantalang,28
sahod,28
mayaman,28
boying,27
cost,27
poor,27
least,27
cannot,27
bagong,27
nation,27
work,27
reports,27
question,27
shame,27
want,27
assets,27
trillion,27
katiwalian,27
involve,27
ilog,27
drama,27
magsalita,27
paulit,27
gustong,27
likod,27
kakapal,27
bulsa,27
sad,27
ibig,27
iyo,27
corporation,26
barangay,26
team,26
millions,26
ask,26
never,26
fake,26
mukhang,26
iyong,26
tagal,26
tamang,26
susunod,26
puno,26
tatay,26
malaman,26
malinaw,26
ganid,26
utak,26
kinurakot,26
kulungan,26
bayang,26
province,25
total,25
especially,25
stop,25
following,25
doj,25
plus,25
plunder,25
bonoan,25
agency,25
end,25
lawmakers,25
face,25
sec,25
day,25
daan,25
nyu,25
kawawang,25
huli,25
ipakulong,25
protektahan,25
dpt,25
gahaman,25
sakim,25
karma,25
isama,25
gaya,25
sasabihin,25
maka,25
bong,25
demonyo,25
anu,25
tell,25
palpak,25
kna,25
madami,25
tas,25
found,24
legacy,24
ferdinand,24
representative,24
alleged,24
mendoza,24
substandard,24
luzon,24
natural,24
engineering,24
around,24
due,24
believe,24
transparency,24
next,24
san,24
engineers,24
wrong,24
heavy,24
magkano,24
tingnan,24
bundok,24
hoy,24
pinsan,24
lumabas,24
diba,24
nako,24
mataas,24
nanaman,24
kasinungalingan,24
ganitong,24
tambaloslos,24
tlaga,24
parusa,24
nakakagalit,24
strong,23
current,23
show,23
along,23
problem,23
better,23
true,23
private,23
investigations,23
lubog,23
dahilan,23
utang,23
sala,23
atty,23
nakikita,23
harap,23
kailan,23
nsa,23
imbestigahan,23
gagawa,23
pira,23
kase,23
probe,22
quezon,22
body,22
development,22
structure,22
used,22
floods,22
say,22
governor,22
yaman,22
instead,22
akong,22
bayad,22
imbistigahan,22
lawyer,22
laging,22
boto,22
corruptions,22
nakaupo,22
