source,term,freq
rappler,16th,1
rappler,1st,7
rappler,2nd,8
rappler,38b,1
rappler,3rd,1
rappler,53rd,1
rappler,6th,1
rappler,aaralan,1
rappler,abagon,1
rappler,abc,2
rappler,abdication,1
rappler,abdulraof,1
rappler,abelido,1
rappler,ability,3
rappler,able,2
rappler,abnormal,1
rappler,abogado,1
rappler,absence,1
rappler,absorb,1
rappler,abstract,1
rappler,absurd,1
rappler,abundance,1
rappler,abuse,1
rappler,academe,1
rappler,academy,1
rappler,accelerate,1
rappler,accelerating,1
rappler,accept,2
rappler,accepts,1
rappler,access,1
rappler,accomplices,2
rappler,accomplishments,1
rappler,account,6
rappler,accountability,20
rappler,accountable,8
rappler,accountant,2
rappler,accounted,1
rappler,accounting,3
rappler,accounts,6
rappler,accreditation,1
rappler,accredited,1
rappler,accumulating,2
rappler,accumulation,1
rappler,accumulative,1
rappler,accusations,1
rappler,accused,3
rappler,accusing,1
rappler,accustomed,1
rappler,acknowledged,1
rappler,acknowledging,2
rappler,across,22
rappler,act,18
rappler,acting,2
rappler,action,13
rappler,actions,5
rappler,activates,1
rappler,active,1
rappler,activities,1
rappler,activity,2
rappler,actor,1
rappler,actors,3
rappler,acts,3
rappler,actually,5
rappler,adapt,1
rappler,adaptation,1
rappler,added,13
rappler,adding,2
rappler,additional,2
rappler,address,14
rappler,addressed,6
rappler,addressing,2
rappler,adequate,1
rappler,adequately,1
rappler,aderma,1
rappler,adjustments,1
rappler,administration,11
rappler,administrative,9
rappler,administratively,1
rappler,admissible,1
rappler,admittedly,1
rappler,adopted,1
rappler,adult,3
rappler,adults,4
rappler,advanced,1
rappler,adviser,1
rappler,advocacy,2
rappler,affect,2
rappler,affected,2
rappler,affects,1
rappler,affidavits,4
rappler,affiliate,1
rappler,afford,1
rappler,afraid,1
rappler,africa,1
rappler,afternoon,1
rappler,afterthought,1
rappler,agad,1
rappler,age,1
rappler,aged,1
rappler,agencies,11
rappler,agency,15
rappler,agenda,1
rappler,ago,2
rappler,agrava,1
rappler,agreement,1
rappler,agri,1
rappler,agricultural,1
rappler,agriculture,7
rappler,aguilar,1
rappler,ahead,1
rappler,aid,1
rappler,aiding,1
rappler,airtight,1
rappler,akb,1
rappler,akbayan,1
rappler,aksyon,2
rappler,alarm,2
rappler,alarming,1
rappler,albay,16
rappler,albayanos,2
rappler,alcanatara,1
rappler,alcantara,10
rappler,alcazar,1
rappler,aldo,1
rappler,alert,1
rappler,alerts,3
rappler,alex,1
rappler,algo,1
rappler,align,1
rappler,aligned,2
rappler,alinea,1
rappler,allan,4
rappler,allegation,1
rappler,allegations,12
rappler,allege,1
rappler,alleged,21
rappler,allegedly,6
rappler,alleviate,1
rappler,allgedly,1
rappler,allies,5
rappler,allocated,1
rappler,allocation,5
rappler,allocations,2
rappler,allotment,1
rappler,allotted,4
rappler,allow,4
rappler,allowed,3
rappler,allowing,1
rappler,allows,1
rappler,ally,1
rappler,almost,3
rappler,alone,2
rappler,along,15
rappler,alpha,1
rappler,already,23
rappler,altea,1
rappler,alter,3
rappler,alteration,1
rappler,alterations,1
rappler,altered,2
rappler,although,1
rappler,altogether,1
rappler,always,2
rappler,ambagnatin,1
rappler,ambivalent,1
rappler,ambush,1
rappler,amending,1
rappler,amendments,2
rappler,amethyst,2
rappler,amid,4
rappler,among,33
rappler,amounted,1
rappler,amounting,4
rappler,amounts,2
rappler,anak,1
rappler,analyses,1
rappler,analysis,2
rappler,analyst,1
rappler,analysts,1
rappler,anatomy,1
rappler,andam,1
rappler,andres,8
rappler,android,1
rappler,andyan,1
rappler,anecdotes,1
rappler,angelica,1
rappler,angelie,1
rappler,angeline,1
rappler,anger,8
rappler,angie,1
rappler,angry,1
rappler,animals,1
rappler,ann,1
rappler,anniversary,2
rappler,announce,1
rappler,announced,1
rappler,annual,5
rappler,annually,1
rappler,anomalies,8
rappler,anomalous,26
rappler,anomaly,1
rappler,anong,1
rappler,anonymity,1
rappler,another,17
rappler,answer,1
rappler,anthony,1
rappler,anti,7
rappler,anxious,1
rappler,anyone,2
rappler,anything,3
rappler,anyway,8
rappler,apart,1
rappler,apektado,1
rappler,apis,1
rappler,apitong,1
rappler,app,4
rappler,apparent,1
rappler,appeals,1
rappler,appearance,2
rappler,appears,2
rappler,appended,1
rappler,application,1
rappler,applications,1
rappler,apply,4
rappler,applying,1
rappler,appointment,2
rappler,appropriate,2
rappler,appropriations,3
rappler,approval,1
rappler,approve,2
rappler,approved,9
rappler,approximately,2
rappler,aquino,3
rappler,araneta,1
rappler,araw,4
rappler,architect,1
rappler,architecture,2
rappler,archives,1
rappler,area,14
rappler,areas,16
rappler,arevalo,1
rappler,argue,3
rappler,argues,1
rappler,argument,2
rappler,aries,1
rappler,arising,1
rappler,arm,2
rappler,armed,1
rappler,arms,1
rappler,arnel,1
rappler,around,6
rappler,arrive,1
rappler,arrived,1
rappler,arrogant,1
rappler,arroyo,1
rappler,arteries,1
rappler,arthur,1
rappler,asawang,1
rappler,ashamed,2
rappler,asia,9
rappler,aside,6
rappler,ask,2
rappler,asked,3
rappler,asking,1
rappler,aspect,1
rappler,aspects,1
rappler,aspirant,2
rappler,assassination,1
rappler,assault,1
rappler,assessing,1
rappler,assessment,5
rappler,assessments,2
rappler,assets,4
rappler,assign,1
rappler,assigned,1
rappler,assistance,1
rappler,assistant,2
rappler,assisted,1
rappler,associate,1
rappler,assume,1
rappler,assuming,1
rappler,assumptions,2
rappler,assurance,1
rappler,astronomical,1
rappler,ateneo,2
rappler,atmospheric,1
rappler,ato,1
rappler,attach,2
rappler,attached,1
rappler,attempt,4
rappler,attempts,1
rappler,attended,1
rappler,attention,3
rappler,attributable,1
rappler,audit,23
rappler,auditing,3
rappler,auditor,1
rappler,auditors,5
rappler,audits,5
rappler,austria,2
rappler,authorities,2
rappler,authority,6
rappler,authorize,1
rappler,authorized,2
rappler,automatic,1
rappler,automatically,4
rappler,automation,1
rappler,autonomous,2
rappler,autopsies,1
rappler,available,2
rappler,ave,1
rappler,avenue,1
rappler,average,1
rappler,avoid,2
rappler,avoidance,1
rappler,avowed,1
rappler,awarded,7
rappler,away,8
rappler,babalikan,1
rappler,babantayan,1
rappler,babes,1
rappler,babies,1
rappler,bacayan,1
rappler,back,7
rappler,backbone,1
rappler,backdated,1
rappler,backdoor,1
rappler,backed,1
rappler,background,1
rappler,backing,2
rappler,backs,1
rappler,backups,1
rappler,backyard,1
rappler,bacolod,2
rappler,bad,2
rappler,badly,2
rappler,baesa,1
rappler,bag,1
rappler,bagged,4
rappler,bagong,1
rappler,bags,1
rappler,baguio,6
rappler,baha,6
rappler,bahala,2
rappler,bahay,1
rappler,baka,2
rappler,balagtas,5
rappler,balamban,1
rappler,balance,3
rappler,balances,1
rappler,baligang,1
rappler,baliuag,5
rappler,baliwag,1
rappler,ball,1
rappler,ballooned,1
rappler,ballooning,2
rappler,bambang,2
rappler,band,1
rappler,bangmoro,2
rappler,bangsamoro,3
rappler,bank,2
rappler,banks,1
rappler,banner,1
rappler,barangay,15
rappler,bared,1
rappler,barely,1
rappler,barkada,1
rappler,barmm,5
rappler,barrel,3
rappler,barriers,1
rappler,bars,2
rappler,based,21
rappler,basically,1
rappler,basins,2
rappler,basis,4
rappler,basura,1
rappler,bataan,1
rappler,batangas,1
rappler,batch,1
rappler,battered,2
rappler,battle,2
rappler,bawat,1
rappler,bay,2
rappler,bayan,2
rappler,beam,4
rappler,bear,1
rappler,became,3
rappler,become,4
rappler,becomes,9
rappler,becoming,1
rappler,began,3
rappler,begin,5
rappler,begins,2
rappler,begun,3
rappler,behavior,1
rappler,behaviors,1
rappler,behind,7
rappler,believe,12
rappler,believing,2
rappler,bells,1
rappler,belmonte,1
rappler,belongings,2
rappler,beneath,3
rappler,beneficial,2
rappler,beneficially,1
rappler,benefit,2
rappler,benefited,4
rappler,benefitted,2
rappler,benjamin,3
rappler,bernal,1
rappler,bernardo,6
rappler,best,6
rappler,beth,1
rappler,betrayals,1
rappler,betrays,1
rappler,better,5
rappler,beyond,2
rappler,bhw,1
rappler,bianca,1
rappler,bicameral,2
rappler,bichon,1
rappler,bichons,1
rappler,bicol,17
rappler,bicolana,1
rappler,bicolano,1
rappler,bid,4
rappler,bidding,5
rappler,biddings,2
rappler,big,9
rappler,biggest,2
rappler,bikers,1
rappler,billion,51
rappler,billions,15
rappler,bills,1
rappler,bilyon,5
rappler,bilyong,1
rappler,binalbagan,1
rappler,binding,1
rappler,bisnar,2
rappler,bit,1
rappler,bites,1
rappler,black,2
rappler,blackhole,1
rappler,blacklist,1
rappler,blacklisted,3
rappler,blacklisting,1
rappler,blamed,3
rappler,blatant,1
rappler,bleeding,1
rappler,blew,1
rappler,blitz,1
rappler,block,5
rappler,blockchain,35
rappler,blogs,1
rappler,blood,1
rappler,blow,1
rappler,blvd,1
rappler,board,1
rappler,bocaue,3
rappler,bodies,5
rappler,body,12
rappler,bohol,1
rappler,boil,1
rappler,boiling,1
rappler,bojie,4
rappler,bold,1
rappler,bolledo,2
rappler,bollettino,1
rappler,bongabong,1
rappler,bongbong,1
rappler,bonifacio,1
rappler,bonoan,4
rappler,bonz,2
rappler,bookmark,1
rappler,bottoms,1
rappler,bought,3
rappler,boulevards,1
rappler,bound,1
rappler,boundary,2
rappler,bounds,1
rappler,boutique,1
rappler,box,3
rappler,boy,1
rappler,boyfriend,1
rappler,boying,1
rappler,boys,1
rappler,branches,1
rappler,brands,1
rappler,bravado,1
rappler,breadcrumbs,1
rappler,break,3
rappler,breaking,1
rappler,breaks,1
rappler,brgy,1
rappler,bribery,3
rappler,brice,7
rappler,bridge,3
rappler,bridges,1
rappler,briefing,3
rappler,bring,1
rappler,brings,2
rappler,brink,1
rappler,broadband,1
rappler,broken,1
rappler,brother,4
rappler,brought,7
rappler,brunt,1
rappler,bubble,1
rappler,budget,37
rappler,budgeting,1
rappler,budgets,2
rappler,buenaventura,1
rappler,buendia,1
rappler,build,1
rappler,builders,8
rappler,building,6
rappler,buildings,1
rappler,builds,1
rappler,built,7
rappler,bukidnon,1
rappler,bulacan,31
rappler,bulakan,1
rappler,bulk,2
rappler,buong,3
rappler,burden,2
rappler,bureaucratic,3
rappler,bureaucrats,1
rappler,buried,1
rappler,burned,1
rappler,business,7
rappler,businesses,4
rappler,butuan,1
rappler,butuanon,1
rappler,bypass,1
rappler,bypassing,1
rappler,cabral,4
rappler,cabuhat,3
rappler,cagayan,2
rappler,cainta,2
rappler,cajayon,2
rappler,cal25,1
rappler,calamities,1
rappler,calinga,1
rappler,call,5
rappler,called,8
rappler,calleja,1
rappler,calling,5
rappler,calls,2
rappler,caloocan,3
rappler,caloy,1
rappler,calumpit,1
rappler,calvo,1
rappler,camansi,1
rappler,came,3
rappler,camero,1
rappler,camille,2
rappler,camp,3
rappler,campaign,2
rappler,campaigned,1
rappler,campaigns,2
rappler,campos,1
rappler,canal,1
rappler,canals,3
rappler,canceling,1
rappler,candidate,1
rappler,candidates,1
rappler,candor,1
rappler,canlaon,2
rappler,cannot,19
rappler,cao,1
rappler,cap,1
rappler,capabilities,1
rappler,capable,1
rappler,capacity,3
rappler,capital,8
rappler,capitol,1
rappler,captain,1
rappler,capture,1
rappler,car,1
rappler,care,1
rappler,careers,1
rappler,carina,2
rappler,carlo,3
rappler,carlos,2
rappler,carreon,4
rappler,carried,4
rappler,carries,2
rappler,carry,1
rappler,case,6
rappler,cases,11
rappler,cash,3
rappler,cast,2
rappler,castellana,2
rappler,casting,1
rappler,castro,1
rappler,castuciano,1
rappler,casualties,1
rappler,casuno,1
rappler,cat,2
rappler,catalina,2
rappler,catalyst,2
rappler,catastrophe,1
rappler,catchment,1
rappler,categorically,1
rappler,categorizes,1
rappler,cater,1
rappler,cathy,2
rappler,caught,3
rappler,cause,6
rappler,caused,9
rappler,causing,1
rappler,cavite,3
rappler,cayco,1
rappler,ccc,4
rappler,ccet,3
rappler,cease,1
rappler,ceases,1
rappler,cebu,12
rappler,celebrities,2
rappler,cement,2
rappler,centerways,2
rappler,central,5
rappler,ceremonial,1
rappler,certain,2
rappler,certainly,1
rappler,certificate,6
rappler,certificates,4
rappler,certified,2
rappler,cesar,1
rappler,chain,1
rappler,chains,2
rappler,chair,2
rappler,chairman,3
rappler,chairperson,8
rappler,challenge,3
rappler,chamber,4
rappler,chance,1
rappler,chanel,2
rappler,change,15
rappler,changed,3
rappler,changes,1
rappler,channels,3
rappler,charge,2
rappler,charged,2
rappler,charges,4
rappler,chat,8
rappler,chay,1
rappler,cheap,2
rappler,check,4
rappler,checking,1
rappler,checks,2
rappler,chewed,1
rappler,chico,2
rappler,chief,5
rappler,children,5
rappler,chile,1
rappler,chiz,2
rappler,chocolate,2
rappler,choice,2
rappler,christian,1
rappler,christopher,4
rappler,chua,1
rappler,circus,1
rappler,cite,1
rappler,cited,3
rappler,cities,4
rappler,citing,6
rappler,citizen,3
rappler,citizens,17
rappler,city,45
rappler,civic,1
rappler,civil,10
rappler,claim,1
rappler,claimed,1
rappler,claiming,3
rappler,claims,2
rappler,clan,1
rappler,clans,1
rappler,class,5
rappler,classes,2
rappler,classified,1
rappler,classify,1
rappler,claudine,4
rappler,clauds,1
rappler,cleaned,1
rappler,cleaning,2
rappler,cleanup,2
rappler,clear,4
rappler,clearer,1
rappler,clearly,2
rappler,climate,39
rappler,clog,1
rappler,clogged,1
rappler,clogging,1
rappler,clogs,1
rappler,close,4
rappler,closely,3
rappler,clothes,1
rappler,cloud,1
rappler,clouds,1
rappler,coa,30
rappler,coalition,2
rappler,coast,1
rappler,coastal,3
rappler,coby,1
rappler,code,16
rappler,coding,1
rappler,coerce,1
rappler,coffers,1
rappler,cohorts,1
rappler,coin,1
rappler,collaboration,1
rappler,collapse,9
rappler,collapsed,4
rappler,collapsing,1
rappler,collected,2
rappler,collecting,1
rappler,collective,1
rappler,collects,1
rappler,colleges,1
rappler,colluded,1
rappler,collusion,8
rappler,colombia,1
rappler,colonial,1
rappler,columnist,1
rappler,combination,2
rappler,combine,1
rappler,combined,1
rappler,come,5
rappler,comelec,2
rappler,comes,7
rappler,coming,2
rappler,comm,6
rappler,command,1
rappler,commemorated,1
rappler,commerce,1
rappler,commission,45
rappler,commissioner,2
rappler,commissions,1
rappler,commit,2
rappler,commitment,3
rappler,committed,1
rappler,committees,1
rappler,common,2
rappler,communication,1
rappler,communications,3
rappler,communities,12
rappler,community,8
rappler,commuters,2
rappler,companies,4
rappler,company,13
rappler,compared,2
