commenter,comment,commenter_profile_url,like_count,reply_parent_id,date_published,title,link,source,cleaned_text,video_id
@YawYan_fighterAlex,"Based on reports from DPWH :
The reported P26 billion flood control budget for Cebu from 2022 to 2025 covers a large number of infrastructure projects, though the effectiveness of these projects is currently under intense scrutiny due to severe flooding. Data suggests that around 414 flood control projects were undertaken across Cebu Province from 2022 to 2025, amounting to approximately P26.7 billion.",http://www.youtube.com/@YawYan_fighterAlex,0,,2025-11-11T12:38:42Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,"Based on reports from DPWH : The reported P26 billion flood control budget for Cebu from 2022 to 2025 covers a large number of infrastructure projects, though the effectiveness of these projects is currently under intense scrutiny due to severe flooding. Data suggests that around 414 flood control projects were undertaken across Cebu Province from 2022 to 2025, amounting to approximately P26.7 billion.",F8SKKPwA4jI
@kwaderno,"Basta lang may maipalusot na project pra manakaw nila ang budget, hndi nila pagaaralan ang flood control kung mkakatulong tlga. Bkt ba kasi wlang pagaaral ang flood control hndi ktulad sa japan inaaral mbuti, sa pinas puro harang lang gngwa",http://www.youtube.com/@kwaderno,0,,2025-11-09T20:40:02Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,"Basta lang may maipalusot na project pra manakaw nila ang budget, hndi nila pagaaralan ang flood control kung mkakatulong tlga. Bkt ba kasi wlang pagaaral ang flood control hndi ktulad sa japan inaaral mbuti, sa pinas puro harang lang gngwa",F8SKKPwA4jI
@tajmajal4197,"Kasya resources/funds basta wala nakaw! Iyong mapepera na na may balak pa, pwede ba, maawa kayo sa mga nawalan ng mga breadwinner, bahay, at source ng kabuhayan! Just stop and do what you're paid to do, which is to serve taxpayers!",http://www.youtube.com/@tajmajal4197,0,,2025-11-09T16:20:34Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,"Kasya resources/funds basta wala nakaw! Iyong mapepera na na may balak pa, pwede ba, maawa kayo sa mga nawalan ng mga breadwinner, bahay, at source ng kabuhayan! Just stop and do what you're paid to do, which is to serve taxpayers!",F8SKKPwA4jI
@poseidondz30,"SOUL, CONSCIENCE AND GUILT

Soul, conscience, and guilt are interconnected concepts
where the soul is considered the essence of a person, the conscience is the internal moral compass that guides the soul, and guilt is the emotional pain or negative feeling that arises when one acts against their conscience. Acting in accordance with one's conscience leads to a ""clear conscience,"" while violating it results in a ""guilty conscience,"" which can be a powerful motivator for seeking change or forgiveness. 
Soul
• The soul is considered the essential part of a person, sometimes viewed as the source of one's moral and spiritual being.

Conscience
• The conscience is the internal faculty that allows a person to distinguish right from wrong.
• It functions as a moral guide or ""compass"" for the soul.
A healthy conscience can be a source of freedom, while a ""seared"" or ignored conscience can be dangerous, according to some interpretations. 
Guilt
• Guilt is the emotional and psychological response to having violated one's own conscience or sense of right and wrong.
• It is often described as a painful feeling or ""bad feeling"" that comes from knowing or thinking you have done something wrong.
• The intensity of guilt can depend on the perceived severity of the wrong action, both in relation to others and to oneself.
• Overcoming guilt often involves a process of seeking forgiveness, repenting, and trying to live according to one's conscience in the future. 

The statement ""You have no conscience"" describes a profound lack of morality and empathy. 
A conscience is the internal sense of right and wrong, and its absence means someone has no regard for the rights or feelings of others. Individuals without a conscience may be very antisocial, can be manipulative, and may not feel guilt or remorse for the harm they cause.",http://www.youtube.com/@poseidondz30,0,,2025-11-09T14:31:12Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,"SOUL, CONSCIENCE AND GUILT Soul, conscience, and guilt are interconnected concepts where the soul is considered the essence of a person, the conscience is the internal moral compass that guides the soul, and guilt is the emotional pain or negative feeling that arises when one acts against their conscience. Acting in accordance with one's conscience leads to a ""clear conscience,"" while violating it results in a ""guilty conscience,"" which can be a powerful motivator for seeking change or forgiveness. Soul • The soul is considered the essential part of a person, sometimes viewed as the source of one's moral and spiritual being. Conscience • The conscience is the internal faculty that allows a person to distinguish right from wrong. • It functions as a moral guide or ""compass"" for the soul. A healthy conscience can be a source of freedom, while a ""seared"" or ignored conscience can be dangerous, according to some interpretations. Guilt • Guilt is the emotional and psychological response to having violated one's own conscience or sense of right and wrong. • It is often described as a painful feeling or ""bad feeling"" that comes from knowing or thinking you have done something wrong. • The intensity of guilt can depend on the perceived severity of the wrong action, both in relation to others and to oneself. • Overcoming guilt often involves a process of seeking forgiveness, repenting, and trying to live according to one's conscience in the future. The statement ""You have no conscience"" describes a profound lack of morality and empathy. A conscience is the internal sense of right and wrong, and its absence means someone has no regard for the rights or feelings of others. Individuals without a conscience may be very antisocial, can be manipulative, and may not feel guilt or remorse for the harm they cause.",F8SKKPwA4jI
@LabanFilipinas,SArAH next,http://www.youtube.com/@LabanFilipinas,0,,2025-11-08T04:54:06Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,SArAH next,F8SKKPwA4jI
@LabanFilipinas,OMG MARTIREZ,http://www.youtube.com/@LabanFilipinas,0,,2025-11-08T04:53:03Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,OMG MARTIREZ,F8SKKPwA4jI
@doughenderson4345,"Poor planning .. Poor execution .. Corruption .. incompetent people in charge ... 
What's to investigate ???    Where's the justice ???",http://www.youtube.com/@doughenderson4345,0,,2025-11-07T18:09:48Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,Poor planning .. Poor execution .. Corruption .. incompetent people in charge ... What's to investigate ??? Where's the justice ???,F8SKKPwA4jI
@pawpawlee8202,"ERC reason for fuel increases is Russia naman this time, still Mideast problem! Nahalata na pinapa ginatasn nyu mga pinoy ah!",http://www.youtube.com/@pawpawlee8202,0,,2025-11-07T11:58:47Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,"ERC reason for fuel increases is Russia naman this time, still Mideast problem! Nahalata na pinapa ginatasn nyu mga pinoy ah!",F8SKKPwA4jI
@pawpawlee8202,Correction: russias attack on ukrain! Not the other way around— baka maging pilippines aggression to china sunod balita ninyu! Please check your facts!,http://www.youtube.com/@pawpawlee8202,0,,2025-11-07T11:56:24Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,Correction: russias attack on ukrain! Not the other way around— baka maging pilippines aggression to china sunod balita ninyu! Please check your facts!,F8SKKPwA4jI
@sophiaallamorin127,My Question ...puro investigation my makakasuhan ba??? NATAKBO NA INVOLVE SA FLOOD CONTROL HARUHAY SA IBANG BANSA LGE NMAN KAWAWA KMING MAHIHIRAP,http://www.youtube.com/@sophiaallamorin127,1,,2025-11-07T11:32:38Z,Dizon: ICI has begun investigating Cebu flood control projects | ANC,https://www.youtube.com/watch?v=F8SKKPwA4jI,youtube,My Question ...puro investigation my makakasuhan ba??? NATAKBO NA INVOLVE SA FLOOD CONTROL HARUHAY SA IBANG BANSA LGE NMAN KAWAWA KMING MAHIHIRAP,F8SKKPwA4jI
